Date;Dernier
09/07/2012;1224.14
10/07/2012;1218.81
11/07/2012;1218.81
12/07/2012;1207.47
13/07/2012;1225.55
16/07/2012;1225.35
17/07/2012;1229.12
18/07/2012;1239.07
19/07/2012;1247.82
20/07/2012;1231.35
23/07/2012;1212.05
24/07/2012;1202.88
25/07/2012;1201.74
26/07/2012;1227.82
27/07/2012;1250.02
30/07/2012;1253.9
31/07/2012;1250.57
01/08/2012;1248.1
02/08/2012;1234.97
03/08/2012;1259.65
06/08/2012;1267.85
07/08/2012;1276.4
08/08/2012;1276.09
09/08/2012;1277.79
10/08/2012;1278.36
13/08/2012;1276.26
14/08/2012;1277.51
15/08/2012;1276.82
16/08/2012;1287.62
17/08/2012;1290.23
20/08/2012;1289.75
21/08/2012;1293.43
22/08/2012;1287.84
23/08/2012;1285.28
24/08/2012;1285.84
27/08/2012;1286.55
28/08/2012;1284.25
29/08/2012;1283.23
30/08/2012;1272.02
31/08/2012;1279.21
03/09/2012;1280.76
04/09/2012;1274.65
05/09/2012;1273.21
06/09/2012;1297.6
07/09/2012;1312.08
10/09/2012;1306.31
11/09/2012;1311.71
12/09/2012;1316.7
13/09/2012;1329.48
14/09/2012;1347.61
17/09/2012;1342.31
18/09/2012;1337.16
19/09/2012;1341.5
20/09/2012;1334.48
21/09/2012;1338.05
24/09/2012;1331.81
25/09/2012;1327.25
26/09/2012;1309.4
27/09/2012;1320.17
28/09/2012;1311.5
01/10/2012;1318.81
02/10/2012;1319.52
03/10/2012;1318.91
04/10/2012;1329
05/10/2012;1334.63
08/10/2012;1326.37
09/10/2012;1313.46
10/10/2012;1305.14
11/10/2012;1308.83
12/10/2012;1306.02
15/10/2012;1312.78
16/10/2012;1329.43
17/10/2012;1339.65
18/10/2012;1339.55
19/10/2012;1322.28
22/10/2012;1320.86
23/10/2012;1299.99
24/10/2012;1298.76
25/10/2012;1302.77
26/10/2012;1300.23
29/10/2012;1296.96
30/10/2012;1302.18
31/10/2012;1301.52
01/11/2012;1313.19
02/11/2012;1305.77
05/11/2012;1303.37
06/11/2012;1311.42
07/11/2012;1289.11
08/11/2012;1276.72
09/11/2012;1276.02
12/11/2012;1274.27
13/11/2012;1271.85
14/11/2012;1257.12
15/11/2012;1253.86
16/11/2012;1253.31
19/11/2012;1280.86
20/11/2012;1281.29
21/11/2012;1284.32
22/11/2012;1290.5
23/11/2012;1304.85
26/11/2012;1302.63
27/11/2012;1299.36
28/11/2012;1303.85
29/11/2012;1314.67
30/11/2012;1315.49
03/12/2012;1313.82
04/12/2012;1314.02
05/12/2012;1315.4
06/12/2012;1319.13
07/12/2012;1320.74
10/12/2012;1321.96
11/12/2012;1329.94
12/12/2012;1332.27
13/12/2012;1327.62
14/12/2012;1325.49
17/12/2012;1335.2
18/12/2012;1347.92
19/12/2012;1348.9
20/12/2012;1351.85
21/12/2012;1341.06
24/12/2012;1338.34
25/12/2012;1339.04
26/12/2012;1335.98
27/12/2012;1336.3
28/12/2012;1326.84
31/12/2012;1338.5
01/01/2013;1338.55
02/01/2013;1367.38
03/01/2013;1364.39
04/01/2013;1370.11
07/01/2013;1366.91
08/01/2013;1362.89
09/01/2013;1367.15
10/01/2013;1378.48
11/01/2013;1381.94
14/01/2013;1380.21
15/01/2013;1382.74
16/01/2013;1378.92
17/01/2013;1386.16
18/01/2013;1388.11
21/01/2013;1389.58
22/01/2013;1393.62
23/01/2013;1393.04
24/01/2013;1396.14
25/01/2013;1405.47
28/01/2013;1403.04
29/01/2013;1410.68
30/01/2013;1409.47
31/01/2013;1405.47
01/02/2013;1416.79
04/02/2013;1399.68
05/02/2013;1405.15
06/02/2013;1408.35
07/02/2013;1401.92
08/02/2013;1410.44
11/02/2013;1405.7
12/02/2013;1413.83
13/02/2013;1413.81
14/02/2013;1411.59
15/02/2013;1406.92
18/02/2013;1408.46
19/02/2013;1419.81
20/02/2013;1410.01
21/02/2013;1392.11
22/02/2013;1402.05
25/02/2013;1391.22
26/02/2013;1386.06
27/02/2013;1399.43
28/02/2013;1405.18
01/03/2013;1401.75
04/03/2013;1404.94
05/03/2013;1420.25
06/03/2013;1422.26
07/03/2013;1424.88
08/03/2013;1428.72
11/03/2013;1434.83
12/03/2013;1433.28
13/03/2013;1429.84
14/03/2013;1440.21
15/03/2013;1444.48
18/03/2013;1430.97
19/03/2013;1426.75
20/03/2013;1434.35
21/03/2013;1426.66
22/03/2013;1432.33
25/03/2013;1426.71
26/03/2013;1432.64
27/03/2013;1428.95
28/03/2013;1434.62
29/03/2013;1434.51
01/04/2013;1428.04
02/04/2013;1435.41
03/04/2013;1425.59
04/04/2013;1422.22
05/04/2013;1419.11
08/04/2013;1426.45
09/04/2013;1433.01
10/04/2013;1452.41
11/04/2013;1462.82
12/04/2013;1456.54
15/04/2013;1431.09
16/04/2013;1438.81
17/04/2013;1420.7
18/04/2013;1413.72
19/04/2013;1422.25
22/04/2013;1427.08
23/04/2013;1443.86
24/04/2013;1450.79
25/04/2013;1459.26
26/04/2013;1457.8
29/04/2013;1468.44
30/04/2013;1476.14
01/05/2013;1466.53
