Maturite;spot_2015;up_2015;down_2015;spot_2016;up_2016;down_2016;spot_2017;up_2017;down_2017;spot_2018;up_2018;down_2018
1;-0,00157;0,00843;-0,00157;-0,00302;0,00698;-0,00302;-0,00358;0,00642;-0,00358;-0,00333;0,00667;-0,00333
2;-0,00129;0,00871;-0,00129;-0,00261;0,00739;-0,00261;-0,0025;0,0075;-0,0025;-0,00275;0,00725;-0,00275
3;-0,00038;0,00962;-0,00038;-0,00208;0,00792;-0,00208;-0,00088;0,00912;-0,00088;-0,00177;0,00823;-0,00177
4;0,00096;0,01096;0,00048;-0,00123;0,00877;-0,00123;0,00069;0,01069;0,00035;-0,00046;0,00954;-0,00046
5;0,00232;0,01232;0,00125;-0,00024;0,00976;-0,00024;0,00209;0,01209;0,00113;0,00099;0,01099;0,00053
6;0,00381;0,01381;0,00221;0,00092;0,01092;0,00053;0,00347;0,01347;0,00201;0,00238;0,01238;0,00138
7;0,00526;0,01526;0,00321;0,00215;0,01215;0,00131;0,00469;0,01469;0,00286;0,00372;0,01372;0,00227
8;0,00667;0,01667;0,00427;0,00341;0,01341;0,00218;0,00585;0,01585;0,00374;0,00499;0,01499;0,00319
9;0,00801;0,01801;0,00537;0,00461;0,01461;0,00309;0,00695;0,01695;0,00466;0,00618;0,01618;0,00414
10;0,00921;0,01921;0,00635;0,00571;0,01571;0,00394;0,00802;0,01802;0,00553;0,00726;0,01726;0,00501
11;0,01026;0,02026;0,00718;0,00671;0,01671;0,0047;0,00897;0,01897;0,00628;0,00822;0,01822;0,00575
12;0,0112;0,0212;0,00795;0,0076;0,0176;0,0054;0,00982;0,01982;0,00697;0,00909;0,01909;0,00645
13;0,01208;0,02208;0,0087;0,00841;0,01841;0,00606;0,01059;0,02059;0,00762;0,00987;0,01987;0,00711
14;0,01284;0,02284;0,00924;0,00908;0,01908;0,00654;0,01125;0,02125;0,0081;0,01054;0,02054;0,00759
15;0,01344;0,02344;0,00981;0,00958;0,01958;0,00699;0,01177;0,02177;0,00859;0,01105;0,02105;0,00807
16;0,01388;0,02388;0,00999;0,00993;0,01993;0,00715;0,01217;0,02217;0,00876;0,01143;0,02143;0,00823
17;0,01422;0,02422;0,01024;0,01019;0,02019;0,00734;0,01249;0,02249;0,00899;0,01173;0,02173;0,00845
18;0,01454;0,02454;0,01047;0,01046;0,02046;0,00753;0,0128;0,0228;0,00922;0,01202;0,02202;0,00865
19;0,01488;0,02488;0,01056;0,01077;0,02077;0,00765;0,01316;0,02316;0,00934;0,01235;0,02235;0,00877
20;0,01527;0,02527;0,01084;0,01117;0,02117;0,00793;0,01357;0,02357;0,00963;0,01275;0,02275;0,00905
21;0,01574;0,02574;0,0112;0,01167;0,02167;0,0083;0,01408;0,02408;0,01001;0,01322;0,02322;0,0094
22;0,01627;0,02627;0,01159;0,01226;0,02226;0,00874;0,01464;0,02464;0,01043;0,01376;0,02376;0,0098
23;0,01683;0,02683;0,01201;0,01289;0,02289;0,0092;0,01524;0,02524;0,01088;0,01434;0,02434;0,01024
